Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,Available now,22500,1,1.0,572.0,No,Yes,12.0,14.0,1,Flat,Uttarahalli -Manavarthekaval
1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,20000,1,1.0,650.0,No,Yes,1.0,6.0,1,Flat,Kadugodi
1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,Available now,15000,1,1.0,400.0,No,Yes,3.0,6.0,1,Studio,BTM Layout
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,"Oct, 2026",42100,2,1.0,1100.0,Yes,Yes,3.0,6.0,2,Flat,Choodasandra
4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,Available now,85000,4,3.0,850.0,No,Yes,4.0,16.0,4,Flat,Chokkanahalli
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,24000,1,1.0,550.0,No,No,3.0,5.0,1,Flat,Brookefield
3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,"Nov, 2025",80000,3,1.0,2000.0,Yes,No,1.0,3.0,3,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,Available now,65000,2,2.0,850.0,Yes,Yes,2.0,4.0,3,Flat,Whitefield
1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,"Dec, 2025",36500,1,1.0,484.0,Yes,Yes,25.0,26.0,1.5,Flat,Varthur
1 BHK Independent House for Rent,"Bettadasanapura, Bangalore",Semi Furnished,620,Family / Bachelor / Company,Available now,15100,1,1.0,600.0,No,No,3.0,6.0,1,Independent House,Bettadasanapura
